scenario,strategy,shock_airport,cumulative_delay,avg_delay,recovery_time,min_performance,loss_area,spread_range,delay_flight_ratio,cancel_proxy,strategy_cost,complexity,topsis_score,rank_in_scenario
normal,baseline,MIA,1544.2459826066352,2.14478608695366,16,0.8364906259254823,1.8167599795372176,1,0.0612796024843902,0.0,0.0,1.0,0.6892196334956111,4.0
normal,uniform_buffer,MIA,331.21111749586095,0.4600154409664735,4,0.8619023906313648,0.3896601382304245,1,0.0131432983133278,0.0,1607.04,2.0,0.7371075442938297,3.0
normal,hub_priority,MIA,836.9354361833015,1.1624103280323632,8,0.8579260044453034,0.9846299249215312,0,0.0332117236580675,0.0,596.1599999999999,3.0,0.7701756257370134,1.0
normal,dynamic_combo,MIA,323.2933214870052,0.4490185020652849,4,0.8619023906313648,0.380345084102359,1,0.0128291000590081,0.0,730.752,4.0,0.7466778763328591,2.0
peak,baseline,MIA,2080.742764452387,2.8899205061838718,20,0.7903226326313814,2.447932664061632,1,0.0825691573195391,0.0,0.0,1.0,0.5897864900537493,4.0
peak,uniform_buffer,MIA,550.664517164729,0.7648118293954568,6,0.8437125083117529,0.6478406084290927,1,0.0218517665541559,0.0,1607.04,2.0,0.7226778592948218,2.0
peak,hub_priority,MIA,1159.3382520086618,1.6101920166786972,11,0.8335435661372657,1.363927355304308,1,0.0460054861908199,0.0,596.1599999999999,3.0,0.7104208913490195,3.0
peak,dynamic_combo,MIA,536.6071366399711,0.7452876897777377,6,0.8437125083117529,0.6313025136940836,1,0.0212939339936496,0.0,730.752,4.0,0.732583078260024,1.0
weather,baseline,MIA,4438.1905045049225,6.164153478479061,25,0.5617479557581015,5.221400593535203,6,0.1761186708136874,2.3463728862402107,0.0,1.0,0.3113708187726589,4.0
weather,uniform_buffer,MIA,1905.9775030096607,2.6471909764023063,11,0.6679693679513126,2.2423264741290128,4,0.0756340278972087,0.9573236498674508,1607.04,2.0,0.5373291621526546,2.0
weather,hub_priority,MIA,2819.909908155365,3.916541539104673,18,0.6342255346875328,3.317541068418076,4,0.1119011868315621,1.398589161778417,596.1599999999999,3.0,0.3959769149000602,3.0
weather,dynamic_combo,MIA,1877.1050105957968,2.607090292494162,11,0.6702882839835141,2.2083588359950546,4,0.0744882940712617,0.9269993632925076,730.752,4.0,0.5444998119397144,1.0
hub_failure,baseline,MIA,3331.946452480183,4.6277034062224764,25,0.6697516202283491,3.9199370029178624,2,0.1322200973206422,0.934017273936973,0.0,1.0,0.4180320576124529,4.0
hub_failure,uniform_buffer,MIA,1196.2763831683158,1.6614949766226603,9,0.7583549658102342,1.4073839801980186,1,0.0474712850463617,0.0,1607.04,2.0,0.6633039000652413,2.0
hub_failure,hub_priority,MIA,1999.3124364630696,2.7768228284209298,15,0.7278209401435078,2.3521322781918466,1,0.0793377950977408,0.1746492442772049,596.1599999999999,3.0,0.5760780878731707,3.0
hub_failure,dynamic_combo,MIA,1170.050771813058,1.625070516407025,9,0.7609996239694338,1.376530319780068,1,0.0464305861830578,0.0,730.752,4.0,0.6731373683913129,1.0
